fips_code,community_name,tank_farm_id,uscg_id,aea_id,entity_name,number_of_tanks,total_capacity,gasoline_capacity,diesel_capacity,av_gas_capacity,jet_fuel_capacity,other_fuel_capacity,barge_delivery,plane_delivery,road_delivery,inspected_by_uscg,fuel_supplier,recommendations_by_aea,distance_to_barge_mooring,tank_farm_evaluation_id,source,report,start_year,end_year,latitude,longitude
0268890,Shaktoolik,,,408-BF-01,Shaktoolik Tank Farm,11,106900,53000,53900,,,,t,f,f,f,,,,,DEC,,,,64.34832763671875,-161.18408203125
0268890,Shaktoolik,,,408-BF-05,Shaktoolik Tank Farm,8,60100,,60100,,,,t,f,f,f,,,,,DEC,,,,64.34832763671875,-161.18408203125
0269770,Shishmaref,,,,AVEC Power Plant Tank Farm,20,169960,,169960,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,66.2548950144504,-166.072522778714
0269770,Shishmaref,,ANC-S-027,408-BF-03,Alaska Village Electric Cooperative,20,159800,,159800,,,,,,,t,,,,,DEC,,,,66.2548828125,-166.07269287109375
0269770,Shishmaref,,,408-BF-02,Bering Strait School District,3,52600,,52600,,,,t,f,f,f,,,,,DEC,,,,66.255126953125,-166.07330322265625
0269770,Shishmaref,481,ANC-S-028,,City of Shishmaref,,62100,,,,,,t,f,f,t,,,,278,AEA,Best Practice Assessment,,,66.25469970703125,-166.07318115234375
0269770,Shishmaref,,,,City of Shishmaref,1,12000,,12000,,,,t,f,f,f,,,,,DEC,,,,66.2576904296875,-166.0609130859375
0269770,Shishmaref,478,,,City-Water Treatment Plant,,8200,,,,,,t,f,f,f,,,,352,AEA,Best Practice Assessment,,,66.2576904296875,-166.0601806640625
0269770,Shishmaref,476,,,Lutheran Church,,6900,,,,,,t,f,f,f,,,,350,AEA,,,,66.25628662109375,-166.06622314453125
0269770,Shishmaref,477,,409-BF-06,National Guard,,9700,,,,,,t,f,f,f,,,,464,AEA,,,,66.25390625,-166.07647705078125
0269770,Shishmaref,,ANC-S-029,,Native Store,,,,,,,,,,,t,,,,,,,,,66.255126953125,-166.0706787109375
0269770,Shishmaref,,ANC-S-080,,Nayokpuk General Store Tank Farm,3,81000,27000,54000,,,,t,f,f,t,,,,,DEC,,,,66.2576904296875,-166.0601806640625
0269770,Shishmaref,,,,Shishmaref Native Store Tank Farm,6,150000,58000,87000,,,5000,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,66.2543044212088,-166.073188894979
0269770,Shishmaref,,,,Shishmaref School Tank Farm,2,54000,,54000,,,,t,f,f,,Crowley,,,,AEA,2024 Assessment,2023,2024,66.2550709507616,-166.073283387655
