fips_code,name,start_year,end_year,is_most_recent,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0216420,Cohoe,2019,2023,1,1619,130,53,106,153,52,125,198,220,155,174,204,48,1,44.6,394,1225,1177,359,253,1619,790,829
0216530,Cold Bay,2019,2023,1,153,10,4,0,1,38,18,27,13,30,6,6,0,0,35.9,14,139,138,8,6,153,56,97
0216630,Coldfoot,2019,2023,1,300,0,0,0,0,37,122,0,52,89,0,0,0,0,33.8,0,300,300,0,0,300,234,66
0216750,College,2019,2023,1,11730,1036,587,459,755,1181,2126,1471,962,375,662,1546,420,150,32.9,2481,9249,8606,2507,2116,11730,6429,5301
0217190,Cooper Landing,2019,2023,1,231,19,21,0,0,0,60,3,64,42,0,22,0,0,46.3,40,191,191,22,22,231,89,142
0217300,Copper Center,2019,2023,1,312,2,29,32,16,17,38,34,29,29,23,49,11,3,41.1,74,238,224,75,63,312,177,135
0217410,Cordova,2019,2023,1,2405,161,150,132,145,150,351,254,205,214,206,342,76,19,37.8,526,1879,1780,586,437,2405,1210,1195
0217670,Covenant Life,2019,2023,1,19,0,0,0,0,0,0,0,19,0,0,0,0,0,,0,19,19,0,0,19,11,8
0217740,Craig,2019,2023,1,1063,50,55,51,80,56,137,126,151,65,91,153,44,4,42.5,201,862,821,237,201,1063,571,492
0217850,Crooked Creek,2019,2023,1,18,0,2,0,4,0,3,0,5,0,1,3,0,0,36.5,2,16,12,4,3,18,9,9
0217960,Crown Point,2019,2023,1,76,0,0,0,0,0,0,28,0,0,32,16,0,0,62.4,0,76,76,48,16,76,23,53
0218510,Deering,2019,2023,1,205,29,22,18,19,14,47,15,18,5,6,10,2,0,28.1,82,123,112,17,12,205,103,102
0218620,Delta Junction,2019,2023,1,1154,104,65,98,50,48,187,269,113,41,56,66,41,16,36.1,301,853,827,148,123,1154,717,437
0218675,Deltana,2019,2023,1,2064,171,190,157,135,89,259,234,295,68,132,187,118,29,36.3,614,1450,1369,397,334,2064,1019,1045
0218805,Denali Park,2019,2023,1,787,6,11,0,0,0,89,481,86,91,0,23,0,0,44.4,17,770,770,23,23,787,674,113
0218925,Diamond Ridge,2019,2023,1,1338,89,67,139,44,94,160,156,134,113,78,198,51,15,40.5,336,1002,965,311,264,1338,653,685
0218950,Dillingham,2019,2023,1,2084,183,190,165,131,135,347,263,151,115,217,140,33,14,31.3,618,1466,1405,348,187,2084,1016,1068
0219060,Diomede,2019,2023,1,25,3,5,1,0,0,10,2,4,0,0,0,0,0,27.9,9,16,16,0,0,25,11,14
0219720,Dot Lake,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0219750,Dot Lake Village,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0220020,Dry Creek,2019,2023,1,147,44,0,0,0,18,0,0,19,66,0,0,0,0,50.6,44,103,103,0,0,147,100,47
0220380,Eagle,2019,2023,1,94,0,0,0,3,0,4,9,4,7,11,35,20,1,70.8,3,91,91,56,56,94,59,35
0220600,Eagle Village,2019,2023,1,64,8,7,4,5,5,0,6,0,0,12,17,0,0,35.5,19,45,35,21,17,64,55,9
0220716,Eareckson Station,2019,2023,1,144,0,0,0,0,30,16,35,16,12,28,7,0,0,40.8,0,144,137,19,7,144,126,18
0220970,Edna Bay,2019,2023,1,13,0,0,0,0,0,0,13,0,0,0,0,0,0,,0,13,13,0,0,13,13,0
0221040,Eek,2019,2023,1,332,18,44,42,34,24,36,24,65,8,14,16,7,0,25.3,130,202,190,32,23,332,179,153
0221150,Egegik,2019,2023,1,50,0,0,0,2,0,11,21,9,5,2,0,0,0,42.3,2,48,48,0,0,50,44,6
0221370,Eielson AFB,2019,2023,1,3133,403,666,178,69,545,831,392,25,5,0,0,8,11,21.9,1263,1870,1679,19,19,3133,1809,1324
0221810,Ekwok,2019,2023,1,35,2,0,4,2,2,7,0,3,6,1,3,5,0,52.5,8,27,27,8,8,35,14,21
0222140,Elfin Cove,2019,2023,1,13,0,0,0,0,0,0,0,0,0,0,13,0,0,,0,13,13,13,13,13,6,7
0222250,Elim,2019,2023,1,278,20,29,41,41,27,23,29,26,17,10,14,1,0,20.9,113,165,138,22,15,278,167,111
0222910,Emmonak,2019,2023,1,945,138,115,49,48,79,132,129,51,32,45,115,11,1,28.1,341,604,595,145,127,945,520,425
0223460,Ester,2019,2023,1,2784,85,157,67,144,86,737,374,343,177,274,335,5,0,36.9,371,2413,2330,582,340,2784,1818,966
0223720,Eureka Roadhouse,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0223790,Evansville,2019,2023,1,15,0,0,0,0,0,8,1,0,0,2,4,0,0,28.9,0,15,15,6,4,15,13,2
0223900,Excursion Inlet,2019,2023,1,66,0,0,0,0,0,12,0,19,28,7,0,0,0,58.1,0,66,66,7,0,66,44,22
0224230,Fairbanks,2019,2023,1,32242,2624,2542,1859,1730,4401,6751,3509,2795,1284,1017,2544,918,268,28.6,7994,24248,22898,4274,3730,32242,17299,14943
0224660,False Pass,2019,2023,1,95,20,7,1,15,4,13,16,0,11,0,8,0,0,32.1,36,59,52,8,8,95,55,40
0225000,Farm Loop,2019,2023,1,2940,188,165,183,276,73,330,545,329,193,165,312,158,23,40.6,718,2222,2098,588,493,2940,1477,1463
0224980,Farmers Loop,2019,2023,1,4887,288,428,302,330,125,882,740,566,353,307,294,256,16,36.5,1194,3693,3539,711,566,4887,2629,2258
0225220,Ferry,2019,2023,1,33,8,0,0,0,0,5,0,0,6,0,6,0,8,56.6,8,25,25,14,14,33,19,14
0225550,Fishhook,2019,2023,1,5461,308,384,515,460,177,540,881,513,385,394,708,131,65,39.8,1497,3964,3687,1076,904,5461,3003,2458
0225880,Flat,2019,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0226100,Fort Greely,2019,2023,1,85,0,0,0,0,43,22,0,10,0,10,0,0,0,25,0,85,81,10,0,85,55,30
0226760,Fort Yukon,2019,2023,1,583,28,34,56,32,37,38,79,67,31,38,96,30,17,43.7,145,438,433,169,143,583,268,315
