fips_code,name,grid_id,grid_name,capacity_mw,fuel_type_code,fuel_type_name,year
0217960,Crown Point,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0217960,Crown Point,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0217960,Crown Point,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0217960,Crown Point,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0217960,Crown Point,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0218510,Deering,130,Deering Grid,0.1,WND,Wind,2021
0218510,Deering,130,Deering Grid,0.0,SUN,Solar,2021
0218510,Deering,130,Deering Grid,0.3,MWH,Electricity used for Energy Storage,2021
0218510,Deering,130,Deering Grid,0.4,DFO,Distillate Fuel Oil,2021
0218620,Delta Junction,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0218620,Delta Junction,215,Railbelt Grid,44.5,WND,Wind,2021
0218620,Delta Junction,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0218620,Delta Junction,215,Railbelt Grid,1.9,SUN,Solar,2021
0218620,Delta Junction,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0218620,Delta Junction,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0218620,Delta Junction,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0218620,Delta Junction,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0218620,Delta Junction,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0218620,Delta Junction,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0218675,Deltana,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0218675,Deltana,215,Railbelt Grid,44.5,WND,Wind,2021
0218675,Deltana,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0218675,Deltana,215,Railbelt Grid,1.9,SUN,Solar,2021
0218675,Deltana,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0218675,Deltana,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0218675,Deltana,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0218675,Deltana,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0218675,Deltana,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0218675,Deltana,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0218805,Denali Park,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0218805,Denali Park,215,Railbelt Grid,44.5,WND,Wind,2021
0218805,Denali Park,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0218805,Denali Park,215,Railbelt Grid,1.9,SUN,Solar,2021
0218805,Denali Park,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0218805,Denali Park,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0218805,Denali Park,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0218805,Denali Park,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0218805,Denali Park,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0218805,Denali Park,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0218925,Diamond Ridge,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0218925,Diamond Ridge,215,Railbelt Grid,44.5,WND,Wind,2021
0218925,Diamond Ridge,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0218925,Diamond Ridge,215,Railbelt Grid,1.9,SUN,Solar,2021
0218925,Diamond Ridge,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0218925,Diamond Ridge,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0218925,Diamond Ridge,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0218925,Diamond Ridge,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0218925,Diamond Ridge,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0218925,Diamond Ridge,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0218950,Dillingham,169,Dillingham Grid,11.0,DFO,Distillate Fuel Oil,2021
0219060,Diomede,110,Diomede Grid,0.5,DFO,Distillate Fuel Oil,2021
0219720,Dot Lake,15,Tok Grid,5.2,DFO,Distillate Fuel Oil,2021
0219750,Dot Lake Village,15,Tok Grid,5.2,DFO,Distillate Fuel Oil,2021
0220020,Dry Creek,,,,,,
0220380,Eagle,9,Eagle Grid,0.0,SUN,Solar,2021
0220380,Eagle,9,Eagle Grid,0.5,DFO,Distillate Fuel Oil,2021
