community_fips_code,year,month,monthly_hdd_sum
0201305,2019,11,1745
0201305,2019,12,2253
0201305,2020,1,2556
0201305,2020,2,2245
0201305,2020,3,1894
0201305,2020,4,1156
0201305,2020,5,521
0201305,2020,6,209
0201305,2020,7,239
0201305,2020,8,273
0201305,2020,9,698
0201305,2020,10,1290
0201305,2020,11,1818
0201305,2020,12,1872
0201305,2021,1,1973
0201305,2021,2,2208
0201305,2021,3,1960
0201305,2021,4,1300
0201305,2021,5,611
0201305,2021,6,223
0201305,2021,7,173
0201305,2021,8,412
0201305,2021,9,745
0201305,2021,10,1190
0201305,2021,11,2044
0201305,2021,12,2176
0201305,2022,1,2280
0201305,2022,2,2000
0201305,2022,3,1673
0201305,2022,4,1209
0201305,2022,5,612
0201305,2022,6,188
0201305,2022,7,224
0201305,2022,8,363
0201305,2022,9,618
0201305,2022,10,1264
0201305,2022,11,1716
0201305,2022,12,2037
0201305,2023,1,1964
0201305,2023,2,1917
0201305,2023,3,1772
0201305,2023,4,1526
0201305,2023,5,565
0201305,2023,6,265
0201305,2023,7,114
0201305,2023,8,234
0201305,2023,9,697
0201305,2023,10,1285
0201305,2023,11,1515
0201305,2023,12,2121
0201305,2024,1,2369
0201305,2024,2,1817
0201305,2024,3,1711
0201305,2024,4,1057
0201305,2024,5,633
0201305,2024,6,91
0201305,2024,7,218
0201305,2024,8,405
0201305,2024,9,646
0201305,2024,10,1314
0201305,2024,11,1871
0201305,2024,12,1805
0201390,2017,1,2184
0201390,2017,2,1749
0201390,2017,3,2001
0201390,2017,4,914
0201390,2017,5,588
0201390,2017,6,293
0201390,2017,7,179
0201390,2017,8,314
0201390,2017,9,606
0201390,2017,10,1198
0201390,2017,11,2028
0201390,2017,12,1949
0201390,2018,1,2181
0201390,2018,2,1895
0201390,2018,3,1637
0201390,2018,4,1129
0201390,2018,5,622
0201390,2018,6,332
0201390,2018,7,161
0201390,2018,8,385
0201390,2018,9,677
0201390,2018,10,1092
0201390,2018,11,1697
0201390,2018,12,2022
0201390,2019,1,2174
0201390,2019,2,1766
0201390,2019,3,1209
0201390,2019,4,927
0201390,2019,5,464
0201390,2019,6,232
0201390,2019,7,144
0201390,2019,8,404
0201390,2019,9,579
0201390,2019,10,1169
0201390,2019,11,1637
0201390,2019,12,2159
0201390,2020,1,2623
0201390,2020,2,2006
0201390,2020,3,1786
0201390,2020,4,1052
0201390,2020,5,476
0201390,2020,6,354
0201390,2020,7,258
0201390,2020,8,362
0201390,2020,9,639
0201390,2020,10,1280
0201390,2020,11,1986
0201390,2020,12,1930
0201390,2021,1,2007
0201390,2021,2,2067
0201390,2021,3,1823
0201390,2021,4,1155
0201390,2021,5,599
0201390,2021,6,269
0201390,2021,7,176
0201390,2021,8,370
0201390,2021,9,766
0201390,2021,10,1291
0201390,2021,11,2103
0201390,2021,12,2183
0201390,2022,1,2299
0201390,2022,2,1718
0201390,2022,3,1582
