community_fips_code,residents_employed,unemployment_insurance_claimants,measurement_year
0214330,40,10,2008
0214330,53,26,2009
0214330,55,22,2010
0214330,63,24,2011
0214330,57,29,2012
0214330,50,24,2013
0214330,57,21,2014
0214880,37,21,2013
0214880,44,18,2014
0214880,42,17,2015
0214880,50,19,2001
0214880,43,23,2002
0214880,31,27,2003
0214880,40,17,2004
0214880,46,14,2005
0214880,25,11,2006
0214880,42,17,2016
0214880,38,7,2007
0214880,22,13,2008
0214880,32,17,2009
0214880,41,17,2010
0214880,41,14,2011
0214880,41,18,2012
0215320,83,28,2012
0215320,77,21,2014
0215320,75,20,2015
0215320,77,26,2006
0215320,77,26,2001
0215320,85,35,2002
0215320,102,35,2003
0215320,94,41,2004
0215320,83,34,2005
0215320,78,28,2008
0215320,75,20,2016
0215320,79,26,2007
0215320,74,27,2009
0215320,76,20,2010
0215320,82,21,2011
0215320,89,20,2013
0215430,37,9,2007
0215430,18,2,2016
0215430,18,2,2015
0215430,17,5,2014
0215430,20,4,2013
0215430,27,8,2012
0215430,33,8,2011
0215430,33,8,2010
0215430,28,7,2009
0215430,24,4,2008
0215430,45,10,2006
0215430,37,7,2005
0215430,29,7,2004
0215430,36,9,2003
0215430,37,14,2002
0215430,36,9,2001
0216360,79,43,2002
0216360,83,37,2003
0216360,89,42,2004
0216360,86,36,2005
0216360,89,35,2006
0216360,78,35,2007
0216360,78,28,2008
0216360,74,39,2009
0216360,77,33,2010
0216360,67,34,2011
0216360,73,29,2012
0216360,69,22,2013
0216360,78,27,2014
0216360,69,18,2016
0216360,69,18,2015
0216360,81,48,2001
0216420,424,98,2001
0216420,531,60,2015
0216420,494,70,2014
0216420,426,135,2002
0216420,446,120,2003
0216420,493,131,2004
0216420,458,99,2005
0216420,465,92,2006
0216420,484,91,2007
0216420,530,114,2008
0216420,535,137,2009
0216420,530,142,2010
0216420,551,136,2011
0216420,544,118,2012
0216420,522,103,2013
0216420,531,60,2016
0216530,36,4,2012
0216530,23,1,2016
0216530,23,1,2015
0216530,31,2,2014
0216530,34,3,2013
0216530,34,5,2011
0216530,41,5,2010
0216530,38,1,2009
0216530,41,1,2008
0216530,29,1,2007
0216530,34,4,2006
0216530,34,4,2005
0216530,32,3,2004
0216530,39,4,2003
0216530,45,7,2002
0216530,30,4,2001
0216630,14,5,2001
0216630,10,1,2015
0216630,10,0,2014
0216630,12,2,2013
0216630,18,2,2012
0216630,15,4,2011
0216630,13,2,2010
0216630,12,1,2009
0216630,13,2,2008
0216630,11,4,2007
0216630,14,2,2006
0216630,13,4,2005
0216630,11,5,2004
0216630,20,7,2003
0216630,14,3,2002
0216630,10,1,2016
0216750,5670,565,2005
0216750,5527,530,2015
0216750,5674,643,2014
0216750,5667,762,2013
0216750,5792,891,2012
0216750,5776,888,2011
0216750,5717,876,2010
0216750,5613,792,2009
0216750,5630,615,2008
0216750,5567,504,2007
0216750,5601,551,2006
0216750,5685,697,2004
0216750,5590,720,2003
0216750,5602,653,2002
0216750,5636,683,2001
0216750,5527,530,2016
0217190,147,54,2001
0217190,144,42,2003
0217190,121,39,2016
0217190,121,39,2015
0217190,136,39,2014
0217190,134,36,2013
0217190,137,46,2012
0217190,133,53,2011
0217190,142,56,2010
0217190,139,48,2009
0217190,137,45,2008
0217190,136,47,2007
0217190,144,45,2006
0217190,136,33,2005
0217190,144,49,2004
0217190,144,44,2002
0217300,109,34,2008
0217300,85,19,2016
0217300,139,47,2001
0217300,134,47,2002
0217300,165,58,2003
0217300,150,50,2004
0217300,152,46,2005
0217300,139,41,2006
0217300,109,46,2007
0217300,113,29,2009
0217300,104,33,2010
0217300,100,26,2011
0217300,100,18,2012
0217300,95,25,2013
0217300,87,17,2014
0217300,85,19,2015
0217410,1017,210,2009
0217410,1064,231,2010
0217410,1045,240,2011
0217410,1072,249,2012
0217410,1026,206,2013
0217410,1063,220,2014
0217410,1104,193,2015
0217410,1077,293,2004
0217410,1073,250,2005
0217410,1047,235,2006
0217410,1057,233,2007
0217410,1063,209,2008
0217410,1104,193,2016
0217410,1133,297,2001
0217410,1110,289,2002
0217410,1125,305,2003
0217670,45,19,2009
0217670,44,16,2011
0217670,42,7,2016
0217670,40,6,2014
0217670,33,8,2013
0217670,42,7,2015
0217670,43,14,2012
0217670,41,7,2001
0217670,34,9,2002
0217670,30,15,2003
0217670,39,12,2004
0217670,39,9,2005
0217670,42,14,2006
0217670,45,14,2007
0217670,41,15,2008
0217670,48,20,2010
0217740,536,114,2013
0217740,505,106,2016
0217740,638,228,2001
0217740,587,196,2002
0217740,592,177,2003
0217740,567,141,2004
0217740,564,133,2005
0217740,547,142,2006
0217740,508,126,2007
0217740,538,128,2008
0217740,546,147,2009
0217740,533,147,2010
0217740,551,161,2011
0217740,556,160,2012
0217740,547,128,2014
0217740,505,106,2015
0217850,50,22,2012
0217850,54,23,2013
0217850,53,15,2001
0217850,61,19,2002
0217850,51,14,2016
0217850,56,20,2003
0217850,63,15,2014
0217850,51,14,2015
0217850,60,23,2004
0217850,65,23,2005
0217850,61,15,2006
0217850,60,20,2007
0217850,67,28,2008
0217850,65,27,2009
0217850,63,22,2010
0217850,71,21,2011
0217960,20,7,2008
0217960,26,10,2010
0217960,25,9,2013
0217960,22,9,2011
0217960,18,9,2012
0217960,16,7,2016
0217960,16,7,2015
0217960,24,10,2014
0217960,26,10,2001
0217960,31,9,2002
0217960,30,9,2003
0217960,33,9,2004
0217960,25,8,2005
0217960,24,7,2006
0217960,22,4,2007
0217960,24,10,2009
0218510,77,19,2001
0218510,64,13,2016
0218510,67,22,2002
0218510,73,28,2003
0218510,78,26,2004
0218510,67,21,2005
0218510,72,15,2006
0218510,69,21,2007
0218510,71,15,2008
0218510,66,22,2009
0218510,67,18,2010
0218510,70,14,2011
0218510,69,32,2012
0218510,63,20,2013
0218510,67,19,2014
0218510,64,13,2015
0218620,486,112,2013
0218620,489,89,2014
0218620,486,67,2016
0218620,486,67,2015
0218620,358,84,2001
0218620,349,76,2002
0218620,407,85,2003
0218620,443,95,2004
0218620,481,85,2005
0218620,506,108,2006
0218620,454,60,2007
0218620,479,84,2008
0218620,464,130,2009
0218620,460,125,2010
0218620,476,129,2011
0218620,498,128,2012
0218675,713,174,2013
0218675,733,114,2016
0218675,733,114,2015
0218675,701,132,2014
0218675,733,171,2012
0218675,742,179,2011
0218675,733,195,2010
0218675,821,205,2009
0218675,779,147,2008
0218675,789,130,2007
0218675,749,160,2006
0218675,739,117,2005
0218675,671,129,2004
0218675,585,130,2003
0218675,555,149,2002
0218675,534,127,2001
0218925,469,86,2012
0218925,450,63,2013
0218925,439,56,2014
0218925,445,33,2015
0218925,371,45,2006
0218925,389,56,2005
0218925,415,72,2004
0218925,388,48,2007
0218925,380,35,2008
0218925,395,66,2009
0218925,445,33,2016
0218925,464,86,2010
0218925,468,76,2011
0218925,710,138,2001
0218925,361,82,2002
0218925,342,68,2003
0218950,1162,196,2010
0218950,1166,97,2016
0218950,1188,147,2014
0218950,1145,156,2013
0218950,1154,193,2012
0218950,1170,215,2011
0218950,1191,149,2001
0218950,1210,185,2002
0218950,1169,174,2003
0218950,1181,166,2004
0218950,1126,143,2005
0218950,1134,124,2006
0218950,1182,116,2007
0218950,1174,119,2008
0218950,1150,164,2009
0218950,1166,97,2015
0219060,60,13,2008
0219060,75,13,2004
0219060,67,10,2003
0219060,59,4,2002
0219060,63,11,2009
0219060,59,5,2001
0219060,53,12,2010
0219060,50,10,2011
0219060,51,12,2012
0219060,51,13,2013
0219060,58,8,2014
0219060,51,5,2015
0219060,51,5,2016
0219060,66,16,2007
0219060,56,12,2006
0219060,65,18,2005
